date_saved,county,county_population,partially_covered,rate_partially_covered,fully_covered,rate_fully_covered,date_updated
2021-04-05,Northampton,305285,53997,,52970,,2021-04-02
2021-04-05,Northumberland,90843,8591,,17521,,2021-04-02
2021-04-05,Perry,46272,7092,,4435,,2021-04-02
2021-04-05,Philadelphia,1584064,27611,,41771,,2021-04-02
2021-04-05,Pike,55809,6911,,5540,,2021-04-02
2021-04-05,Potter,16526,781,,1569,,2021-04-02
2021-04-05,Schuylkill,141359,19328,,23468,,2021-04-02
2021-04-05,Snyder,40372,3874,,5545,,2021-04-02
2021-04-05,Somerset,73447,8339,,9374,,2021-04-02
2021-04-05,Sullivan,6066,1525,,1008,,2021-04-02
2021-04-05,Susquehanna,40328,3586,,4960,,2021-04-02
2021-04-05,Tioga,40591,2366,,4764,,2021-04-02
2021-04-05,Union,44923,5288,,6544,,2021-04-02
2021-04-05,Venango,50668,2425,,7488,,2021-04-02
2021-04-05,Warren,39191,4449,,4497,,2021-04-02
2021-04-05,Washington,206865,35909,,35995,,2021-04-02
2021-04-05,Wayne,51361,6656,,8217,,2021-04-02
2021-04-05,Westmoreland,348899,52300,,59243,,2021-04-02
2021-04-05,Wyoming,26794,3210,,4221,,2021-04-02
2021-04-05,York,449058,43849,,63142,,2021-04-02
2021-04-05,Out-of-State,0,179388,,131019,,2021-04-02
2021-04-12,Lycoming,113299,10011,,21859,,2021-04-08
2021-04-12,Jefferson,43425,3444,,11040,,2021-04-08
2021-04-12,Montour,18230,1896,,6996,,2021-04-08
2021-04-12,Sullivan,6066,1454,,1217,,2021-04-08
2021-04-12,Cumberland,253370,38543,,45184,,2021-04-08
2021-04-12,Fulton,14530,1292,,1261,,2021-04-08
2021-04-12,Bedford,47888,4532,,5560,,2021-04-08
2021-04-12,Clinton,38632,2855,,6072,,2021-04-08
2021-04-12,Potter,16526,793,,1726,,2021-04-08
2021-04-12,Washington,206865,38974,,42944,,2021-04-08
2021-04-12,Mifflin,46138,4129,,8927,,2021-04-08
2021-04-12,Juniata,24763,2010,,4010,,2021-04-08
2021-04-12,Cameron,4447,479,,1199,,2021-04-08
2021-04-12,Indiana,84073,8437,,14214,,2021-04-08
2021-04-12,Fayette,129274,18760,,25993,,2021-04-08
2021-04-12,Wyoming,26794,3421,,5178,,2021-04-08
2021-04-12,Adams,103009,9257,,15993,,2021-04-08
2021-04-12,Northampton,305285,59694,,62211,,2021-04-08
2021-04-12,Dauphin,278299,31661,,40618,,2021-04-08
2021-04-12,Lackawanna,209674,30847,,57848,,2021-04-08
2021-04-12,Huntingdon,45144,2970,,10251,,2021-04-08
2021-04-12,Elk,29910,2857,,8955,,2021-04-08
2021-04-12,Bucks,628270,90090,,115582,,2021-04-08
2021-04-12,Greene,36233,4562,,5878,,2021-04-08
2021-04-12,Schuylkill,141359,21521,,28968,,2021-04-08
2021-04-12,Montgomery,830915,186391,,126445,,2021-04-08
2021-04-12,Lebanon,141793,16348,,22720,,2021-04-08
2021-04-12,Mercer,109424,7661,,26707,,2021-04-08
2021-04-12,Northumberland,90843,8624,,20650,,2021-04-08
2021-04-12,Lehigh,369318,66385,,78439,,2021-04-08
2021-04-12,Bradford,60323,4242,,9153,,2021-04-08
2021-04-12,Allegheny,1216045,224002,,277937,,2021-04-08
2021-04-12,Blair,121829,9861,,22099,,2021-04-08
2021-04-12,Centre,162385,19670,,36048,,2021-04-08
2021-04-12,Forest,7247,402,,2781,,2021-04-08
2021-04-12,Franklin,155027,12867,,24192,,2021-04-08
2021-04-12,Cambria,130192,13893,,30164,,2021-04-08
2021-04-12,Beaver,163929,13230,,22483,,2021-04-08
2021-04-12,Clearfield,79255,6239,,17323,,2021-04-08
2021-04-12,Lancaster,545724,81189,,92977,,2021-04-08
2021-04-12,Lawrence,85512,6615,,15869,,2021-04-08
2021-04-12,Philadelphia,1584064,28532,,49762,,2021-04-08
2021-04-12,Butler,187853,17098,,50584,,2021-04-08
2021-04-12,York,449058,47434,,77289,,2021-04-08
2021-04-12,Armstrong,64735,10149,,13003,,2021-04-08
2021-04-12,Union,44923,5648,,7557,,2021-04-08
2021-04-12,Somerset,73447,7494,,12213,,2021-04-08
2021-04-12,Monroe,170271,22781,,21588,,2021-04-08
2021-04-12,Snyder,40372,4089,,6505,,2021-04-08
2021-04-12,Perry,46272,7379,,5221,,2021-04-08
2021-04-12,Chester,524989,102155,,99098,,2021-04-08
2021-04-12,Berks,421164,54893,,63062,,2021-04-08
2021-04-12,Wayne,51361,6352,,9923,,2021-04-08
2021-04-12,Delaware,566747,85767,,100867,,2021-04-08
2021-04-12,Erie,269728,27964,,57736,,2021-04-08
2021-04-12,Tioga,40591,2181,,5215,,2021-04-08
2021-04-12,Columbia,64964,7190,,15432,,2021-04-08
2021-04-12,Pike,55809,7124,,6627,,2021-04-08
2021-04-12,Susquehanna,40328,3795,,5842,,2021-04-08
2021-04-12,Crawford,84629,6522,,19255,,2021-04-08
2021-04-12,Westmoreland,348899,53587,,72398,,2021-04-08
2021-04-12,Venango,50668,3032,,8265,,2021-04-08
2021-04-12,Out-of-State,0,193492,,170520,,2021-04-08
2021-04-12,Warren,39191,5395,,5324,,2021-04-08
2021-04-12,Clarion,38438,2651,,8702,,2021-04-08
2021-04-12,Carbon,64182,9813,,12267,,2021-04-08
2021-04-12,Mckean,40625,4216,,5171,,2021-04-08
2021-04-12,Luzerne,317417,38876,,72714,,2021-04-08
2021-04-19,Columbia,64964,6758,,17412,,2021-04-08
2021-04-19,Franklin,155027,11189,,28507,,2021-04-08
2021-04-19,Delaware,566747,88691,,119610,,2021-04-08
